% Model,EM_Reluctance.mph
% Version,COMSOL 6.2.0.290
% Date,"Aug 27 2024, 15:02"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0.28500000000000003,-0.13,-0.13,6.258261650924541E-4
0.28500000000000003,-0.13,0,6.405418134652789E-4
0.28500000000000003,-0.13,0.13,5.17210037042506E-4
0.28500000000000003,0,-0.13,-6.90269522065923E-5
0.28500000000000003,0,0,0
0.28500000000000003,0,0.13,-6.902695222602595E-5
0.28500000000000003,0.13,-0.13,5.172100370519446E-4
0.28500000000000003,0.13,0,6.405418133635795E-4
0.28500000000000003,0.13,0.13,6.258261645891228E-4
0.29,-0.13,-0.13,6.748138567224972E-4
0.29,-0.13,0,6.790323064107814E-4
0.29,-0.13,0.13,5.544905404728387E-4
0.29,0,-0.13,-6.438431427826293E-5
0.29,0,0,0
0.29,0,0.13,-6.438431425856935E-5
0.29,0.13,-0.13,5.544905404855886E-4
0.29,0.13,0,6.79032306425317E-4
0.29,0.13,0.13,6.748138564667421E-4
0.295,-0.13,-0.13,7.404536233568168E-4
0.295,-0.13,0,7.402880319783298E-4
0.295,-0.13,0.13,6.09613659944763E-4
0.295,0,-0.13,-6.525439012952222E-5
0.295,0,0,0
0.295,0,0.13,-6.525439012300002E-5
0.295,0.13,-0.13,6.096136599439795E-4
0.295,0.13,0,7.402880319401468E-4
0.295,0.13,0.13,7.404536233160355E-4
0.3,-0.13,-0.13,8.050717374644568E-4
0.3,-0.13,0,7.988437433962584E-4
0.3,-0.13,0.13,6.660226076220204E-4
0.3,0,-0.13,-6.329724991684938E-5
0.3,0,0,0
0.3,0,0.13,-6.329724991012917E-5
0.3,0.13,-0.13,6.660226074764566E-4
0.3,0.13,0,7.988437432246095E-4
0.3,0.13,0.13,8.050717374642932E-4
0.305,-0.13,-0.13,8.805308684123306E-4
0.305,-0.13,0,8.640973345414586E-4
0.305,-0.13,0.13,7.274662450044554E-4
